,Velocity of Money
2004-01-04 00:00:00+00:00,9.042
2004-04-04 00:00:00+00:00,9.065
2004-07-04 00:00:00+00:00,9.098
2004-10-03 00:00:00+00:00,9.138
2005-04-03 00:00:00+00:00,9.445
2005-07-03 00:00:00+00:00,9.557
2007-01-07 00:00:00+00:00,10.399
2007-10-07 00:00:00+00:00,10.703
2008-01-06 00:00:00+00:00,10.639
2008-04-06 00:00:00+00:00,10.645
2008-07-06 00:00:00+00:00,10.418
2008-10-05 00:00:00+00:00,9.548
2009-01-04 00:00:00+00:00,9.155
2009-04-05 00:00:00+00:00,8.827
2009-07-05 00:00:00+00:00,8.691
2009-10-04 00:00:00+00:00,8.698
2010-01-03 00:00:00+00:00,8.708
2010-04-04 00:00:00+00:00,8.742
2010-07-04 00:00:00+00:00,8.671
2010-10-03 00:00:00+00:00,8.434
2011-04-03 00:00:00+00:00,8.044
2011-07-03 00:00:00+00:00,7.533
2012-10-07 00:00:00+00:00,6.728
2013-01-06 00:00:00+00:00,6.729
2013-04-07 00:00:00+00:00,6.648
2013-07-07 00:00:00+00:00,6.623
2013-10-06 00:00:00+00:00,6.492
2014-01-05 00:00:00+00:00,6.314
2014-04-06 00:00:00+00:00,6.272
2014-07-06 00:00:00+00:00,6.277
2014-10-05 00:00:00+00:00,6.165
2015-01-04 00:00:00+00:00,6.06
2015-04-05 00:00:00+00:00,6.097
2015-07-05 00:00:00+00:00,6.057
2015-10-04 00:00:00+00:00,6.007
2016-01-03 00:00:00+00:00,5.927
2016-04-03 00:00:00+00:00,5.798
2016-07-03 00:00:00+00:00,5.731
2018-01-07 00:00:00+00:00,5.579
2018-10-07 00:00:00+00:00,5.604
2019-01-06 00:00:00+00:00,5.636
2019-04-07 00:00:00+00:00,5.627
2019-07-07 00:00:00+00:00,5.603
2019-10-06 00:00:00+00:00,5.52
2020-01-05 00:00:00+00:00,5.328
2020-04-05 00:00:00+00:00,1.589
2020-07-05 00:00:00+00:00,1.278
2020-10-04 00:00:00+00:00,1.252
2021-01-03 00:00:00+00:00,1.231
2021-04-04 00:00:00+00:00,1.214
2021-07-04 00:00:00+00:00,1.209
2021-10-03 00:00:00+00:00,1.217
2022-04-03 00:00:00+00:00,1.238
2022-07-03 00:00:00+00:00,1.271
