,GDP,Real GDP
2003-10-05 00:00:00+00:00,11772.234,14131.379
2004-01-04 00:00:00+00:00,11923.447,14212.34
2004-04-04 00:00:00+00:00,12112.815,14323.017
2004-07-04 00:00:00+00:00,12305.307,14457.832
2004-10-03 00:00:00+00:00,12527.214,14605.595
2005-04-03 00:00:00+00:00,12922.656,14839.707
2005-07-03 00:00:00+00:00,13142.642,14956.291
2007-01-07 00:00:00+00:00,14215.651,15478.956
2007-10-07 00:00:00+00:00,14715.058,15767.146
2008-01-06 00:00:00+00:00,14706.538,15702.906
2008-04-06 00:00:00+00:00,14865.701,15792.773
2008-07-06 00:00:00+00:00,14898.999,15709.562
2008-10-05 00:00:00+00:00,14608.208,15366.607
2009-01-04 00:00:00+00:00,14430.901,15187.475
2009-04-05 00:00:00+00:00,14381.236,15161.772
2009-07-05 00:00:00+00:00,14448.882,15216.647
2009-10-04 00:00:00+00:00,14651.248,15379.155
2010-01-03 00:00:00+00:00,14764.611,15456.059
2010-04-04 00:00:00+00:00,14980.193,15605.628
2010-07-04 00:00:00+00:00,15141.605,15726.282
2010-10-03 00:00:00+00:00,15309.471,15807.995
2011-04-03 00:00:00+00:00,15557.535,15876.839
2011-07-03 00:00:00+00:00,15647.681,15870.684
2012-10-07 00:00:00+00:00,16420.386,16300.035
2013-01-06 00:00:00+00:00,16629.05,16441.485
2013-04-07 00:00:00+00:00,16699.551,16464.402
2013-07-07 00:00:00+00:00,16911.068,16594.743
2013-10-06 00:00:00+00:00,17133.114,16712.76
2014-01-05 00:00:00+00:00,17144.281,16654.247
2014-04-06 00:00:00+00:00,17462.703,16868.109
2014-07-06 00:00:00+00:00,17743.227,17064.616
2014-10-05 00:00:00+00:00,17852.54,17141.235
2015-01-04 00:00:00+00:00,17991.348,17280.647
2015-04-05 00:00:00+00:00,18193.707,17380.875
2015-07-05 00:00:00+00:00,18306.96,17437.08
2015-10-04 00:00:00+00:00,18332.079,17462.579
2016-01-03 00:00:00+00:00,18425.306,17565.465
2016-04-03 00:00:00+00:00,18611.617,17618.581
2016-07-03 00:00:00+00:00,18775.459,17724.489
2018-01-07 00:00:00+00:00,20155.486,18437.127
2018-10-07 00:00:00+00:00,20819.269,18733.741
2019-01-06 00:00:00+00:00,21013.085,18835.411
2019-04-07 00:00:00+00:00,21272.448,18962.175
2019-07-07 00:00:00+00:00,21531.839,19130.932
2019-10-06 00:00:00+00:00,21706.532,19215.691
2020-01-05 00:00:00+00:00,21538.032,18989.877
2020-04-05 00:00:00+00:00,19636.731,17378.712
2020-07-05 00:00:00+00:00,21362.428,18743.72
2020-10-04 00:00:00+00:00,21704.706,18924.262
2021-01-03 00:00:00+00:00,22313.85,19216.224
2021-04-04 00:00:00+00:00,23046.934,19544.248
2021-07-04 00:00:00+00:00,23550.42,19672.594
2021-10-03 00:00:00+00:00,24349.121,20006.181
2022-04-03 00:00:00+00:00,25248.476,19895.271
2022-07-03 00:00:00+00:00,25723.941,20054.663
