,Government Debt
2003-10-05 00:00:00+00:00,6997964.0
2004-01-04 00:00:00+00:00,7131068.0
2004-04-04 00:00:00+00:00,7274335.0
2004-07-04 00:00:00+00:00,7379053.0
2004-10-03 00:00:00+00:00,7596143.0
2005-04-03 00:00:00+00:00,7836496.0
2005-07-03 00:00:00+00:00,7932710.0
2007-01-07 00:00:00+00:00,8849665.0
2007-10-07 00:00:00+00:00,9229172.0
2008-01-06 00:00:00+00:00,9437594.0
2008-04-06 00:00:00+00:00,9492006.0
2008-07-06 00:00:00+00:00,10024725.0
2008-10-05 00:00:00+00:00,10699805.0
2009-01-04 00:00:00+00:00,11126941.0
2009-04-05 00:00:00+00:00,11545275.0
2009-07-05 00:00:00+00:00,11909828.0
2009-10-04 00:00:00+00:00,12311349.0
2010-01-03 00:00:00+00:00,12773123.0
2010-04-04 00:00:00+00:00,13201792.0
2010-07-04 00:00:00+00:00,13561622.0
2010-10-03 00:00:00+00:00,14025215.0
2011-04-03 00:00:00+00:00,14343087.0
2011-07-03 00:00:00+00:00,14790340.0
2012-10-07 00:00:00+00:00,16432730.0
2013-01-06 00:00:00+00:00,16771381.0
2013-04-07 00:00:00+00:00,16738320.0
2013-07-07 00:00:00+00:00,16738180.0
2013-10-06 00:00:00+00:00,17156119.0
2014-01-05 00:00:00+00:00,17601227.0
2014-04-06 00:00:00+00:00,17632606.0
2014-07-06 00:00:00+00:00,17824071.0
2014-10-05 00:00:00+00:00,18141444.0
2015-01-04 00:00:00+00:00,18152056.0
2015-04-05 00:00:00+00:00,18151998.0
2015-07-05 00:00:00+00:00,18150618.0
2015-10-04 00:00:00+00:00,18922179.0
2016-01-03 00:00:00+00:00,19264939.0
2016-04-03 00:00:00+00:00,19381591.0
2016-07-03 00:00:00+00:00,19573445.0
2018-01-07 00:00:00+00:00,21089643.0
2018-10-07 00:00:00+00:00,21974096.0
2019-01-06 00:00:00+00:00,22027880.0
2019-04-07 00:00:00+00:00,22023283.0
2019-07-07 00:00:00+00:00,22719402.0
2019-10-06 00:00:00+00:00,23201380.0
2020-01-05 00:00:00+00:00,23223813.0
2020-04-05 00:00:00+00:00,26477241.0
2020-07-05 00:00:00+00:00,26945391.0
2020-10-04 00:00:00+00:00,27747798.0
2021-01-03 00:00:00+00:00,28132570.0
2021-04-04 00:00:00+00:00,28529436.0
2021-07-04 00:00:00+00:00,28428919.0
2021-10-03 00:00:00+00:00,29617215.0
2022-04-03 00:00:00+00:00,30568582.0
2022-07-03 00:00:00+00:00,30928912.0
